seccion,indicador,titulo,ambito,sexo,periodo,valor,unidad
epa,ocupados,Ocupados,espana,Ambos sexos,2018T4,19564.6,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2019T1,19471.1,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2019T2,19804.9,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2019T3,19874.3,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2019T4,19966.9,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2020T1,19681.3,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2020T2,18607.2,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2020T3,19176.9,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2020T4,19344.3,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2021T1,19239.6,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2021T2,19716.1,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2021T3,20103.3,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2021T4,20274.8,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2022T1,20196.7,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2022T2,20607.2,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2022T3,20745.4,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2022T4,20640.7,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2023T1,20634.2,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2023T2,21258.4,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2023T3,21446.5,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2023T4,21389.7,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2024T1,21250.0,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2024T2,21684.7,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2024T3,21823.0,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2024T4,21857.9,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2025T1,21765.4,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2025T2,22268.7,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2025T3,22387.1,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2025T4,22463.3,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2026T1,22293.0,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2026T2,22779.0,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2002T1,10256.3,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2002T2,10402.3,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2002T3,10491.8,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2002T4,10480.8,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2003T1,10540.6,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2003T2,10696.6,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2003T3,10810.3,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2003T4,10811.8,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2004T1,10803.0,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2004T2,10925.2,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2004T3,11069.0,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2004T4,11155.1,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2005T1,11263.6,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2005T2,11433.8,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2005T3,11620.7,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2005T4,11622.0,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2006T1,11637.3,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2006T2,11772.7,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2006T3,11928.9,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2006T4,11895.2,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2007T1,11923.7,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2007T2,12083.3,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2007T3,12175.9,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2007T4,12086.6,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2008T1,12014.0,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2008T2,11950.2,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2008T3,11841.6,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2008T4,11414.9,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2009T1,10899.2,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2009T2,10777.1,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2009T3,10705.3,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2009T4,10550.8,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2010T1,10369.3,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2010T2,10470.2,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2010T3,10514.1,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2010T4,10341.1,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2011T1,10196.5,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2011T2,10229.1,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2011T3,10204.0,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2011T4,9980.3,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2012T1,9688.0,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2012T2,9663.1,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2012T3,9645.8,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2012T4,9435.7,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2013T1,9238.3,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2013T2,9333.2,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2013T3,9384.8,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2013T4,9306.8,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2014T1,9165.6,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2014T2,9441.0,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2014T3,9605.9,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2014T4,9558.3,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2015T1,9520.2,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2015T2,9761.4,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2015T3,9896.5,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2015T4,9863.3,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2016T1,9847.4,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2016T2,9971.1,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2016T3,10112.8,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2016T4,10071.9,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2017T1,10048.5,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2017T2,10256.9,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2017T3,10420.5,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2017T4,10339.2,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2018T1,10284.0,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2018T2,10528.3,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2018T3,10662.4,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2018T4,10653.1,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2019T1,10599.1,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2019T2,10750.2,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2019T3,10824.5,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2019T4,10808.6,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2020T1,10661.2,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2020T2,10133.4,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2020T3,10454.2,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2020T4,10469.8,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2021T1,10450.4,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2021T2,10678.2,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2021T3,10873.3,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2021T4,10930.8,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2022T1,10905.9,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2022T2,11123.8,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2022T3,11292.6,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2022T4,11136.0,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2023T1,11091.2,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2023T2,11423.6,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2023T3,11545.9,miles de personas
epa,ocupados,Ocupados,espana,Hombres,2023T4,11445.9,miles de personas
